"Refs","Value","Footprint","Manufacturer","MPN","Mouser P/N","Datasheet","Description"
"C1,C2,C5,C6,C10,C13,C14,C17,C19,C20,C23,C25,C26,C31,C35,C37,C42","100n","Capacitor_SMD:C_0805_2012Metric","","","","~","Unpolarized capacitor"
"C3,C4,C7,C11,C12,C18,C21,C28","10u","Capacitor_SMD:C_0805_2012Metric","","","","~","Unpolarized capacitor"
"C8,C15","100p C0G","Capacitor_SMD:C_0805_2012Metric","","","","~","Unpolarized capacitor"
"C9,C16,C22,C24","1n","Capacitor_SMD:C_0805_2012Metric","","","","~","Unpolarized capacitor"
"C27,C29,C30,C32","47u","Capacitor_SMD:C_1206_3216Metric","","","","~","Unpolarized capacitor"
"C33,C34","1n C0G","Capacitor_SMD:C_0603_1608Metric","","","","~","Unpolarized capacitor"
"C36","100u 25V","Capacitor_SMD:CP_Elec_6.3x7.7","","","","~","Polarized capacitor"
"C38","75pF","Capacitor_SMD:C_0805_2012Metric","","","","~","Unpolarized capacitor"
"C39","10u 25V","Capacitor_SMD:C_1206_3216Metric","","","","~","Unpolarized capacitor"
"C40,C41,C43,C44","22u 25V","Capacitor_SMD:C_1206_3216Metric","","","","~","Unpolarized capacitor"
"D1-D8","SM4004","Diode_SMD:D_MELF","","","","http://cdn-reichelt.de/documents/datenblatt/A400/SMD1N400%23DIO.pdf","400V 1A General Purpose Rectifier Diode, MELF"
"D9,D10","LED","LED_THT:LED_D3.0mm","","","","~","Light emitting diode"
"D11","1N4148WS","Diode_SMD:D_SOD-323","","","","https://www.vishay.com/docs/85751/1n4148ws.pdf","75V 0.15A Fast switching Diode, SOD-323"
"D12-D14","SMBJ15CA","Diode_SMD:D_SMB","","","","~","Bidirectional transient-voltage-suppression diode"
"D15","SMAJ5.0A","Diode_SMD:D_SMA","","","","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","400W unidirectional Transient Voltage Suppressor, 5.0Vr, SMA(DO-214AC)"
"J1,J2,J4,J6","NCJ6FA-H-0","Connector_Audio:Jack_XLR-6.35mm_Neutrik_NCJ6FA-H-0_Horizontal","","","","https://www.neutrik.com/en/product/ncj6fa-h-0","Combo A series, 3 pole XLR female receptacle with 6.35mm (1/4in) stereo jack, horizontal PCB mount, retention spring"
"J3,J5","Conn_02x10_Odd_Even","Connector_IDC:IDC-Header_2x10_P2.54mm_Vertical","","","","~","Generic connector, double row, 02x10, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
