pk,thd_pct,dc,fund,codec_pp,codec_max,codec_min,seed_pp,seed_max,seed_min
0.02,0.063937,2.50001,1000.0,0.260454,2.63023,2.36978,0.354203,0.177104,-0.177099
0.04,0.065066,2.50001,1000.0,0.514837,2.75742,2.24259,0.700162,0.350083,-0.350079
0.06,0.062718,2.5,1000.0,0.763742,2.88188,2.11813,1.03868,0.519341,-0.519335
0.08,0.063857,2.5,1000.0,1.00772,3.00386,1.99615,1.37048,0.685243,-0.685237
0.1,0.063034,2.50001,1000.0,1.24726,3.12364,1.87637,1.69626,0.848131,-0.848127
0.12,0.08255,2.50002,1000.0,1.48284,3.24143,1.75859,2.01664,1.00833,-1.00832
0.14,0.07225,2.50003,1000.0,1.7149,3.35746,1.64255,2.33225,1.16613,-1.16612
0.16,0.065314,2.50005,1000.0,1.94386,3.47194,1.52808,2.64363,1.32182,-1.32181
0.18,0.060334,2.50006,1000.0,2.17011,3.58506,1.41495,2.95133,1.47567,-1.47566
0.2,0.057503,2.50007,1000.0,2.39402,3.69702,1.303,3.25586,1.62793,-1.62792
0.22,0.054608,2.50006,1000.0,2.61595,3.80798,1.19203,3.55769,1.77885,-1.77884
0.24,0.052495,2.50007,1000.0,2.83626,3.91814,1.08187,3.8573,1.92865,-1.92865
0.26,0.054996,2.50007,1000.0,3.05524,4.02763,0.972393,4.15511,2.07756,-2.07755
0.28,0.05929,2.50009,1000.0,3.27167,4.13625,0.86458,4.44946,2.22529,-2.22417
0.3,0.512725,2.501,1000.0,3.4403,4.22679,0.786492,4.67879,2.34842,-2.33037
0.32,2.101657,2.50236,1000.0,3.50889,4.26454,0.755649,4.77207,2.39976,-2.37231
0.34,4.018985,2.5033,1000.0,3.54418,4.28299,0.738806,4.82008,2.42485,-2.39522
0.36,5.904338,2.50398,1000.0,3.56934,4.29584,0.726501,4.85429,2.44233,-2.41196
0.38,7.674423,2.50453,1000.0,3.5901,4.30634,0.716238,4.88251,2.4566,-2.42591
0.4,9.310782,2.50497,1000.0,3.60855,4.31562,0.707073,4.90761,2.46923,-2.43838
0.42,10.82188,2.50535,1000.0,3.62567,4.32421,0.69854,4.9309,2.48091,-2.44998
0.44,12.216688,2.50569,1000.0,3.64201,4.3324,0.690391,4.95311,2.49204,-2.46106
0.46,13.507011,2.506,1000.0,3.65787,4.34034,0.682468,4.97469,2.50285,-2.47184
0.48,14.70523,2.50625,1000.0,3.6735,4.34816,0.674659,4.99594,2.51348,-2.48246
0.5,15.820044,2.50648,1000.0,3.68905,4.35594,0.666889,5.01709,2.52407,-2.49303
0.52,16.860702,2.50669,1000.0,3.70466,4.36375,0.65909,5.03832,2.53469,-2.50363
0.54,17.836223,2.5069,1000.0,3.72044,4.37164,0.651205,5.05978,2.54542,-2.51436
0.56,18.752038,2.50708,1000.0,3.73648,4.37967,0.643187,5.08161,2.55634,-2.52526
0.58,19.613989,2.50725,1000.0,3.75291,4.3879,0.634985,5.10394,2.56752,-2.53642
0.6,20.42819,2.50741,1000.0,3.76979,4.39634,0.626551,5.1269,2.57901,-2.54789
0.62,21.197422,2.50755,1000.0,3.78724,4.40508,0.617836,5.15064,2.5909,-2.55974
0.64,21.925308,2.50769,1000.0,3.80537,4.41416,0.608786,5.17529,2.60324,-2.57205
0.66,22.61689,2.50783,1000.0,3.82429,4.42363,0.599341,5.20101,2.61612,-2.58489
0.68,23.273211,2.50796,1000.0,3.84411,4.43356,0.589448,5.22798,2.62963,-2.59835
0.7,23.89846,2.50808,1000.0,3.865,4.44402,0.579026,5.25638,2.64386,-2.61252
0.72,24.492909,2.5082,1000.0,3.8871,4.4551,0.568,5.28644,2.65893,-2.62751
0.74,25.059325,2.50832,1000.0,3.9106,4.46688,0.556282,5.3184,2.67495,-2.64345
0.76,25.599126,2.50844,1000.0,3.93572,4.47948,0.543756,5.35256,2.69208,-2.66049
0.78,26.113255,2.50855,1000.0,3.96271,4.49302,0.530307,5.38926,2.71049,-2.67878
0.8,26.602645,2.50867,1000.0,3.99186,4.50764,0.515783,5.42891,2.73038,-2.69853
0.82,27.067852,2.50879,1000.0,4.02353,4.52354,0.50001,5.47198,2.752,-2.71999
0.84,27.509171,2.50891,1000.0,4.05816,4.54092,0.482767,5.51907,2.77564,-2.74343
0.86,27.92587,2.50905,1000.0,4.09626,4.56006,0.463796,5.5709,2.80167,-2.76923
0.88,28.318064,2.50919,1000.0,4.13852,4.58129,0.442774,5.62837,2.83055,-2.79782
0.9,28.684194,2.50935,1000.0,4.18574,4.60503,0.419291,5.69259,2.86283,-2.82976
0.92,29.022769,2.50952,1000.0,4.239,4.63182,0.392823,5.76501,2.89926,-2.86576
0.940000000000001,29.331478,2.50972,1000.0,4.29965,4.66234,0.362688,5.8475,2.94077,-2.90674
0.960000000000001,29.605779,2.50995,1000.0,4.36952,4.69752,0.328001,5.94254,2.98862,-2.95392
0.980000000000001,29.840343,2.51023,1000.0,4.4511,4.73863,0.287528,6.05346,3.04451,-3.00895
1.0,30.027421,2.51057,1000.0,4.54777,4.78737,0.239602,6.18495,3.11081,-3.07413
