pk,thd_pct,dc,fund,codec_pp,codec_max,codec_min,seed_pp,seed_max,seed_min
0.2,0.058171,2.50006,1000.0,2.25148,3.62575,1.37426,3.062,1.531,-1.531
0.21,0.055074,2.50008,1000.0,2.35652,3.67827,1.32175,3.20486,1.60244,-1.60243
0.22,0.056634,2.50008,1000.0,2.46117,3.73059,1.26942,3.34718,1.67359,-1.67359
0.23,0.053864,2.50006,1000.0,2.56545,3.78273,1.21728,3.489,1.7445,-1.7445
0.24,0.055548,2.50006,1000.0,2.6694,3.83471,1.1653,3.63038,1.81519,-1.81518
0.25,0.055265,2.50007,1000.0,2.77307,3.88654,1.11347,3.77136,1.88568,-1.88567
0.26,0.054747,2.50008,1000.0,2.87646,3.93824,1.06178,3.91197,1.95599,-1.95598
0.27,0.053984,2.50007,1000.0,2.97958,3.98982,1.01023,4.05222,2.02614,-2.02608
0.28,0.053325,2.50007,1000.0,3.08208,4.04119,0.959116,4.19161,2.09601,-2.0956
0.29,0.073984,2.50016,1000.0,3.18103,4.09161,0.910579,4.32619,2.16459,-2.16161
0.3,0.261348,2.5006,1000.0,3.26398,4.13638,0.872402,4.439,2.22547,-2.21353
0.31,0.783847,2.50132,1000.0,3.3181,4.16687,0.848763,4.5126,2.26692,-2.24568
0.32,1.559898,2.50202,1000.0,3.3512,4.18513,0.83393,4.55761,2.29176,-2.26585
0.33,2.458885,2.50258,1000.0,3.37378,4.19723,0.823456,4.58832,2.30822,-2.2801
0.34,3.402689,2.50306,1000.0,3.3909,4.20622,0.815317,4.61161,2.32045,-2.29116
0.35,4.351584,2.50346,1000.0,3.40487,4.21346,0.808584,4.63061,2.33029,-2.30032
0.36,5.286441,2.5038,1000.0,3.41685,4.2196,0.802748,4.64689,2.33864,-2.30825
0.37,6.196707,2.50412,1000.0,3.42747,4.22501,0.797543,4.66133,2.346,-2.31534
0.38,7.077151,2.5044,1000.0,3.43712,4.2299,0.79278,4.67447,2.35266,-2.32181
0.39,7.927021,2.50463,1000.0,3.44608,4.23443,0.78835,4.68665,2.35881,-2.32784
0.4,8.742761,2.50488,1000.0,3.4545,4.23867,0.784178,4.6981,2.36459,-2.33352
0.41,9.528034,2.50507,1000.0,3.46251,4.2427,0.780196,4.70899,2.37006,-2.33893
0.42,10.283896,2.50528,1000.0,3.47019,4.24656,0.776373,4.71944,2.37532,-2.34413
0.43,11.012027,2.50546,1000.0,3.47762,4.25029,0.772673,4.72955,2.38039,-2.34916
0.44,11.710772,2.50562,1000.0,3.48484,4.25391,0.769074,4.73937,2.38531,-2.35406
0.45,12.384237,2.50579,1000.0,3.4919,4.25745,0.765549,4.74897,2.39012,-2.35885
