pk,thd_pct,dc,fund,codec_pp,codec_max,codec_min,seed_pp,seed_max,seed_min
0.2,0.057893,2.50007,1000.0,2.39402,3.69702,1.303,3.25586,1.62793,-1.62792
0.21,0.055733,2.50007,1000.0,2.50522,3.75261,1.24739,3.40708,1.70354,-1.70354
0.22,0.054608,2.50006,1000.0,2.61595,3.80798,1.19203,3.55769,1.77885,-1.77884
0.23,0.055853,2.50006,1000.0,2.72629,3.86316,1.13686,3.70775,1.85388,-1.85387
0.24,0.052495,2.50007,1000.0,2.83626,3.91814,1.08187,3.8573,1.92865,-1.92865
0.25,0.054768,2.50007,1000.0,2.9459,3.97296,1.02706,4.00641,2.00321,-2.0032
0.26,0.054996,2.50007,1000.0,3.05524,4.02763,0.972393,4.15511,2.07756,-2.07755
0.27,0.053696,2.50007,1000.0,3.16419,4.08215,0.917953,4.30329,2.15171,-2.15158
0.28,0.05929,2.50009,1000.0,3.27167,4.13625,0.86458,4.44946,2.22529,-2.22417
0.29,0.133999,2.50034,1000.0,3.36991,4.18756,0.817653,4.58306,2.29507,-2.28799
0.3,0.512725,2.501,1000.0,3.4403,4.22679,0.786492,4.67879,2.34842,-2.33037
0.31,1.218815,2.50175,1000.0,3.48208,4.25007,0.767995,4.7356,2.38008,-2.35552
0.32,2.101657,2.50236,1000.0,3.50889,4.26454,0.755649,4.77207,2.39976,-2.37231
0.33,3.053172,2.50287,1000.0,3.52849,4.27486,0.746368,4.79873,2.41379,-2.38494
0.34,4.018985,2.5033,1000.0,3.54418,4.28299,0.738806,4.82008,2.42485,-2.39522
0.35,4.973811,2.50367,1000.0,3.55753,4.28983,0.732299,4.83822,2.43415,-2.40407
0.36,5.904354,2.50398,1000.0,3.56934,4.29584,0.7265,4.85429,2.44233,-2.41196
0.37,6.806015,2.50426,1000.0,3.5801,4.30129,0.721194,4.86892,2.44974,-2.41918
0.38,7.674423,2.50453,1000.0,3.5901,4.30634,0.716238,4.88251,2.4566,-2.42591
0.39,8.509346,2.50476,1000.0,3.59953,4.31109,0.711554,4.89535,2.46307,-2.43228
0.4,9.310577,2.50498,1000.0,3.60855,4.31562,0.707073,4.90761,2.46923,-2.43838
