corner,corner_name,testcase,test_name,thd_pct,dc,fund,codec_pp,codec_max,codec_min,seed_pp,seed_max,seed_min
1,TYP,1,+4dBu pk=1.0,0.071789,2.5,1000.0,1.23247,3.11624,1.88377,1.67615,0.83808,-0.838073
2,OPA_CLIP,1,+4dBu pk=1.0,0.073495,2.5,1000.0,1.25737,3.12869,1.87132,1.71002,0.85501,-0.855006
3,CLAMP_TIGHT,1,+4dBu pk=1.0,0.076268,2.50002,1000.0,1.23247,3.11624,1.88377,1.67615,0.83808,-0.838073
4,CLAMP_LOOSE,1,+4dBu pk=1.0,0.069886,2.50001,1000.0,1.23248,3.11625,1.88377,1.67615,0.83808,-0.838073
5,GAIN_LOW,1,+4dBu pk=1.0,0.073745,2.50002,1000.0,1.20807,3.10404,1.89597,1.64296,0.821485,-0.821478
1,TYP,2,+24dBu pk=0.26,0.054356,2.50008,1000.0,2.87646,3.93824,1.06178,3.91197,1.95599,-1.95598
2,OPA_CLIP,2,+24dBu pk=0.26,0.052,2.50008,1000.0,2.93429,3.96723,1.03294,3.99063,1.99542,-1.99521
3,CLAMP_TIGHT,2,+24dBu pk=0.26,0.049347,2.50008,1000.0,2.87627,3.93819,1.06192,3.91173,1.95594,-1.95579
4,CLAMP_LOOSE,2,+24dBu pk=0.26,0.052117,2.50008,1000.0,2.87647,3.93824,1.06177,3.91199,1.956,-1.95599
5,GAIN_LOW,2,+24dBu pk=0.26,0.051823,2.50009,1000.0,2.81951,3.90976,1.09025,3.83451,1.91726,-1.91725
1,TYP,3,+24dBu pk=1.0,30.549249,2.50988,1000.0,4.10182,4.56335,0.461525,5.57846,2.80614,-2.77232
2,OPA_CLIP,3,+24dBu pk=1.0,31.160643,2.51006,1000.0,4.01686,4.52095,0.504094,5.46291,2.74848,-2.71443
3,CLAMP_TIGHT,3,+24dBu pk=1.0,31.062611,2.50998,1000.0,3.96043,4.49267,0.532233,5.38617,2.71001,-2.67616
4,CLAMP_LOOSE,3,+24dBu pk=1.0,30.019179,2.50977,1000.0,4.24726,4.63605,0.388794,5.77625,2.90501,-2.87124
5,GAIN_LOW,3,+24dBu pk=1.0,30.302411,2.50978,1000.0,4.08343,4.55408,0.470646,5.55346,2.79354,-2.75992
