rfb_ohms,normal_thd_percent,normal_codec_pp,normal_codec_max,overdrive_thd_percent,overdrive_codec_pp,overdrive_codec_max,overdrive_codec_min,overdrive_seed_max,overdrive_seed_min
10000,0.071552,1.09870,3.04935,31.555797,3.38375,4.19397,0.810214,2.31774,-2.28377
10500,0.071330,1.15365,3.07683,32.081304,3.42548,4.21479,0.789310,2.34638,-2.31187
11000,0.071331,1.20859,3.10429,32.559992,3.46716,4.23559,0.768429,2.37501,-2.33993
11500,0.071331,1.26352,3.13176,32.998110,3.50883,4.25640,0.747569,2.40364,-2.36795
12000,0.071331,1.31846,3.15923,33.400645,3.55046,4.27718,0.726726,2.43228,-2.39595
12500,0.071331,1.37339,3.18670,33.772052,3.59210,4.29799,0.705892,2.46093,-2.42392
13000,0.071332,1.42833,3.21416,34.115492,3.63371,4.31878,0.685067,2.48957,-2.45187
13500,0.071332,1.48326,3.24163,34.434085,3.67533,4.33958,0.664251,2.51824,-2.47980
14000,0.071332,1.53820,3.26910,34.742664,3.71397,4.35888,0.644917,2.54417,-2.50504
14500,0.071333,1.59314,3.29657,35.069257,3.74294,4.37334,0.630398,2.56340,-2.52377
15000,0.071709,1.64807,3.32404,35.393426,3.76757,4.38562,0.618049,2.57986,-2.53982
15500,0.071709,1.70301,3.35150,35.709815,3.78930,4.39645,0.607151,2.59442,-2.55401
16000,0.071710,1.75794,3.37897,36.016534,3.80881,4.40617,0.597362,2.60752,-2.56678
16500,0.071710,1.81288,3.40644,36.312048,3.82651,4.41499,0.588477,2.61941,-2.57839
17000,0.071711,1.86781,3.43391,36.596443,3.84272,4.42305,0.580339,2.63031,-2.58901
17500,0.071711,1.92275,3.46137,36.869824,3.85764,4.43048,0.572841,2.64034,-2.59881
18000,0.071712,1.97769,3.48884,37.132167,3.87146,4.43736,0.565902,2.64963,-2.60788
18500,0.071713,2.03262,3.51631,37.384229,3.88431,4.44375,0.559442,2.65827,-2.61631
19000,0.071714,2.08756,3.54378,37.625950,3.89628,4.44971,0.553426,2.66634,-2.62418
19500,0.071615,2.14249,3.57125,37.858284,3.90751,4.45529,0.547780,2.67388,-2.63155
20000,0.071535,2.19742,3.59871,38.081175,3.91804,4.46053,0.542487,2.68097,-2.63847
20500,0.071540,2.25235,3.62618,38.295539,3.92794,4.46545,0.537506,2.68763,-2.64497
21000,0.071082,2.30724,3.65363,38.501418,3.93729,4.47010,0.532805,2.69392,-2.65111
21500,0.078035,2.36204,3.68107,38.699409,3.94612,4.47448,0.528365,2.69986,-2.65692
22000,0.082979,2.41649,3.70832,38.889898,3.95448,4.47864,0.524157,2.70548,-2.66241
22500,0.086927,2.47037,3.73558,39.073502,3.96241,4.48258,0.520168,2.71082,-2.66762
23000,0.104544,2.52200,3.76206,39.250236,3.96995,4.48632,0.516375,2.71589,-2.67257
23500,0.188293,2.56888,3.78681,39.420623,3.97712,4.48988,0.512764,2.72071,-2.67728
24000,0.394407,2.60817,3.80817,39.584551,3.98395,4.49327,0.509328,2.72531,-2.68177
24500,0.723837,2.63887,3.82493,39.742864,3.99046,4.49651,0.506051,2.72969,-2.68606
25000,1.158649,2.66237,3.83757,39.895761,3.99668,4.49960,0.502920,2.73388,-2.69015
