rfb_ohms,passive_thd_percent,fbclamp_thd_percent,fbclamp_codec_pp
10000,0.071552,0.071874,1.27643
10500,0.070956,0.071329,1.34027
11000,0.070956,0.071328,1.40409
11500,0.071330,0.071329,1.46791
12000,0.071330,0.071329,1.53174
12500,0.071330,0.071705,1.59556
13000,0.071330,0.071705,1.65938
13500,0.071330,0.071705,1.7232
14000,0.071331,0.071705,1.78702
14500,0.071332,0.071705,1.85085
15000,0.071711,0.071705,1.91467
15500,0.071720,0.071705,1.97849
16000,0.070775,0.071705,2.04231
16500,0.072457,0.071604,2.10614
17000,0.074645,0.071604,2.16996
17100,0.077572,,
17200,0.079779,,
17300,0.073860,,
17400,0.074642,,
17500,0.071415,0.071604,2.23378
17600,0.070976,,
17700,0.078382,,
17800,0.072870,,
17900,0.076262,,
18000,0.076141,0.071705,2.2976
18100,0.077835,,
18200,0.080016,,
18300,0.082347,,
18400,0.085165,,
18500,0.091994,0.071705,2.36142
18600,0.097987,,
18700,0.106650,,
18800,0.117959,,
18900,0.128891,,
19000,0.147059,0.071521,2.42525
19500,0.266692,0.071521,2.48907
20000,0.481404,0.071521,2.55289
20500,0.799665,0.070970,2.61671
21000,1.210091,0.070970,2.68054
21500,1.696797,0.069799,2.74436
22000,2.241473,0.071141,2.80818
22500,2.814989,0.073938,2.872
23000,3.410998,0.082034,2.93582
23500,4.013450,0.087048,2.99965
24000,4.615525,0.094613,3.06347
24500,5.212575,0.104756,3.12729
25000,5.801230,0.108654,3.19109
